itemId,supplierId,Cost Price,Supplier SKU
7dd050d8-2fb8-4b06-a899-e880f2dec780,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,50,30-474-C
5690a807-0c07-422c-84a7-bfb6d08cbd63,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-478-BO
192312ee-cb25-4615-8130-36ec8d9ec2ae,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-479-BO
121bda5b-5a1f-4c45-95dc-3f83f56d84c2,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-480-BO
44bcd7bd-a555-4d3f-b048-89c1d5fa407a,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,20,30-482-C
08530ee5-4f46-4fa3-a8d1-b385cb9b2ca4,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,15,30-487-C
136da74e-cf49-4b13-b37e-d7836d4fdf3b,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,15,30-488-C
0632e64e-14f9-4adb-81bb-625016b076a7,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,10,30-493-C
11b0b62a-a8cd-4192-a97a-237858d5d590,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,16.66,30-497-C
670e4021-8c49-49f9-8253-c24dbd1e3d60,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,16.66,30-502-BO
1ed7c95b-589e-411d-a7d4-26070b75eaf8,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-525-C
3550a648-23eb-4e26-bed1-2c7519b2261f,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-526-C
32201e23-824b-4764-84b8-7440e271c629,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-542-C
1c041634-75e8-4450-8aaf-a7814505905c,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,30,30-543-C
1c081f89-65f5-4616-9271-c1c58ccd2555,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,15,30-544-C
9cb6331e-0e8b-4f6a-b026-c10cf81a29c6,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,15,30-545-C
bbf9d731-e518-4e20-8ce0-ec5dd5cd938f,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,16.66,30-548-C
2e5c56c4-20ae-4aa3-88ba-923b7265dec0,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-550-C
92ccf0ff-6a27-410a-a494-903c2837464c,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,20,30-553-C
4f58818b-a0d2-4ea4-afa7-e9b83e7d7c09,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-557-C
28f1bb01-151c-40b9-bf59-c552138dad94,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,16.66,30-564-C
1f17e40f-86dc-4a40-87ad-ee29c4b2dad9,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,16.66,30-565-C
48331f8c-4fbc-4b57-9554-cd3fff31afc5,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,50,30-566-BO
7638be4a-dece-4979-9d37-dbc65cfb3c35,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,16.66,30-579-BO
1cc78614-9e82-437f-9d56-af0a837f88f8,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,26.66,30-580-BO
186f40a1-eea1-49b1-ac14-191c28546668,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,23.33,30-584-BO
0ca94457-5b8e-4358-8dd2-38b09adb7798,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-586-BO
81c56243-47f0-4d57-a9fb-a1317ddaeb22,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-589-BO
6890842a-a20f-4198-81d4-ff7c6c981c62,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-590-BO
1e9afbc0-d085-407c-9731-bb2fc885debb,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,28.33,30-593-BO
57627b11-7f2c-4a46-98ea-3bcd9f4be2a6,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,13.33,30-595-BO
717848e4-592c-49c8-9df0-2a1a3508694f,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,10,30-596-BO
b139c952-b192-4b83-bce6-976d9c659ac1,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,50,30-597-K
