,itemId,variantIds
FW33,5f317378-9b87-4ac0-a47d-de0a19130aa4,"2795fdc6-7e48-44e2-84fb-c2f4a3231814, 900f0436-5219-4cfa-b665-188f9cd135f9, cec2fe95-2712-4151-95af-576215450189, 9d2138ba-a004-44c2-824f-8c9074f8f46d, 5cd6a7e7-2490-4399-ae9c-f2941e62fc9e, 76378eac-b5cd-4e26-b19c-e85b2d449fda, b44a8ebb-3a57-426e-a000-a7570dea6cf7, 6668882c-df9d-4ee8-ba55-0eb3b7ce57ba, 9e2fec1c-ce07-471f-bc3b-8529762646a6, 0792f247-2be5-4773-a8e1-28b0d031b148, 369388e6-af90-4745-a348-a4f0d07ac63f, ac4bfa7b-53bc-4de6-9629-f92b6ae8807b, ec515d79-5b8a-429b-b6e9-f28195220a31, 2e5ac7c6-17e7-4d94-a515-6e7994778648, fff3edfe-c2dd-40d8-bd41-3b373385858f, 498bdf9c-c04b-4c0c-a790-722ea1520ec4, 3b248944-ba01-4610-ae3d-b7f2d838c6b6, 2ce4a229-daf8-45ca-8aba-08789a476e1b, e8fd2d3e-429d-49d9-9891-9243ff8ee159, 09a8675d-4c1f-4f57-b4a6-fb966c6bc72f, cf919ac9-7504-41b2-84a7-486daa278bd9, 8f4cb626-c30d-4637-acf2-445088d28540"
FW35,ca2105e2-0aa4-4b66-ad48-0f812ea30882,"56669585-2a24-4f09-834d-d46527808480, df558015-295f-47c0-a126-0ed5338250c5, 44b783f5-fcfe-4f8b-a69e-efa81d62361b, fa10134a-326f-4802-b160-4ef7c12562d2, 65896781-d051-474e-a308-2eca05e030b0, 80ed2778-bfa6-4262-a562-0afc6501092a, e1de3615-2f6b-45ff-99eb-25888c78a1cf, fa783d27-5726-47d4-93c5-0917bb78f4d7"
FW41,0a942cc0-1f5d-4e20-81fc-a44e0edba653,"4a596cd1-a66b-46f1-af3e-64d79c5bb3d6, c2e4c48f-89c3-42ec-8c77-4c88c156218e, 826bc323-dda4-473c-b76b-1d7c612b1f1b, 168e1641-e747-4e56-a7e7-988cad8be75c, be21731f-177e-4d7d-9715-47620f7b7e32, 95a5fd40-b41c-4646-ba58-8cdfaa6f43e6, 5b16723b-7f9c-4ecb-9a7e-faeb0e1f9bea"
FW46,f8c7b843-1fe7-4043-8dd2-a1e7f8f1c401,"70eb6f06-2c21-45ae-bb34-7bba6827b804, d7e048c8-e17b-4026-b2a7-c5cb01781a97, 3ba6c527-5460-4d92-9988-eeeb0d7b3bbf, fd8aa84a-67e3-491f-8c8e-9af38af85c77, 83125960-6f78-40ce-b103-0081b6310c9e, a3360e44-ab6f-4eb8-a9ff-cdfc5fbdb2df, d1487fc0-974e-4930-af97-61dc10bce13e"
FW48,84bc8962-bbf1-4280-a5b1-691f80268d1c,"1760a99f-a7dc-4071-a19e-39627016bff7, fe65b4ac-1d8a-4a02-af8b-746cbb425d97, eaca33d9-e229-4ce6-ba23-cba14f244073, 28ba33a5-817a-4465-bb73-2298579a4fff, 6e303f3e-2921-4d7e-8b71-66d06c1fb194, d608d7c4-be14-452a-afdd-d48662b595b0, b60d0bb6-ac7d-4e5a-8f41-04fc9aa4f233, c4f38879-20a8-4cc8-bc64-1db245213f9a, 20cd9f7d-cadf-4843-a0e6-a0e0a7968f9c, bf26d10b-97f4-4889-b470-b48984452fb5, 6360a102-f365-40dd-ac78-69f2c3511435, af4a09dd-8d9e-4190-bf11-ba3cdde487e9, 55c066d3-64ad-45d5-8c4b-1a5bd2fec1c5"
FW51,4c1e0ac7-df6f-4932-9506-e0e3f31168d8,"fbb6fb8b-690c-448d-976b-ddde5502e150, 686da1f3-5427-4e99-97d3-ee673973ee74, 6da03c38-0757-43dc-ae11-fc2ba2e201cd, 75bb7c0e-6805-4c01-9a62-bbe903a1c7e4, fb2f3975-c22a-4432-829c-8dfaaa47fb39, df851332-8428-4851-be19-245bc4edbd73, 04529b86-7d23-4680-b62e-188b429bcac2, 1dfd1290-43ac-4af3-ac59-91a4c1a13226, e5ee5697-a08a-40fc-9acb-5518864c62e1, b1f3e245-8abc-458a-b7a6-71c705de0e45, a5869aa4-6251-46a0-88cc-6d6c5fcf87ea, ad732a9a-5ee3-4ba6-a647-4f4299c09a55, f5c4b412-a0de-4ad7-96e8-4d37228eb1f4, 31b71fa1-77b3-44d8-91c1-163b4c021330, 12578206-8fd8-43a1-9743-6d6caf6bd16a, 477a2f3f-fc70-443f-a73b-244bb3e18549, af3bdd95-5edb-40b7-b0f5-d4323b0f1ccc, 4fc56438-b192-4688-89c5-4e4821053a1c"
FW65,55551745-62ee-4266-9417-4740446f3a79,"61e59681-3608-49b7-9ee0-4ab516834840, b7592f51-0bf7-4da4-a445-32a8ca5fa3ba, 35843e6d-8ac9-45d0-9db3-d33256904f2d, 0f41ab1d-ea13-4005-9575-0b597ff62bb1, 62fd5138-e53c-4d71-9f97-00fee86a96fb, f8afb5ab-dbc0-42a0-a509-7669222f877f, e6131979-258e-43d1-96c6-a3b9cef870b6, 28735b07-8961-4913-b43b-08bda79d1db5"
FW66,a6e3e69a-83a2-4348-ac5f-533ead49d393,"5b4ad36c-d534-41a0-8690-2e562c99b330, b169720f-5846-4a3e-83f2-52a640293038, 076306d5-6c8c-4803-8ac6-59b09705c531, c4bf717e-c361-48a7-916c-5a24fc53628a, 0f9ac9dc-0ea0-4810-a0cc-2564e2b2a826, f229d282-2941-4838-8f3a-ffab1d931397, 467e9b7b-a7c5-450f-b960-057eea306abc, e56da1c1-7764-48fb-a723-40a20c9fa391, 927c6ea2-cf54-460e-a61e-611620aaa8b4, c6042a30-5217-4093-adfd-b857ee9a6d5f, 2ae6ba3b-fb07-46a3-8f07-79911369d34b, e23b8616-df0b-4af7-8c86-040dd7a0da2b, 5aa6f5f6-1ebf-4415-845f-32fb9ceda577, 9e1d8ffa-e95d-45c8-8597-beacd9b3691e, 421645cf-e079-4c2c-bc9d-e18527daf432, f58c0512-fbc5-400f-9b9b-2a4f5c806108, 0c6a1517-06d9-4172-a46d-51603d681a5b, f16880fd-20e2-43f3-8ba4-744f5688da05"
FW69,aeef59a2-9c82-4918-9e11-05ab3cf02167,"d2b5be46-0df5-4cf3-848b-74f79fb63c8e, c57364c5-4faf-460d-a368-8f10c09c7b8f, 357451f5-5df0-4f5e-87ea-e6718d0c7c94, dae1a747-f57f-4919-85c6-08d23944da6b, b0077f5c-798c-4e36-b876-8b63db3add54, 673ebece-c617-4189-9289-8e027f2f8526, 26ff133b-7615-4553-b735-2c0cd2640f45, ad5d5c49-14d8-4341-8132-a6a2b974c420, 04d9d7de-537e-487a-9756-366f9ed2a85a, 54915673-bda3-4138-9137-92d1e3e5ea6f, 7ff6cb77-22a4-4b8f-b321-025792a105b6, f50d24d8-70f3-48d2-99cb-ee6f653f7685, 24fe7f6b-e491-4e9c-aa7c-363a1503d08c, 7968d380-572e-42ca-84a1-0a6a1679e0d6, f5dd8151-3f38-4a76-8597-d456992c7f97, cb82c5c1-5d73-411f-91ef-10bafe3bbe81, 5c60cbc6-6874-4924-811b-4d1e1f4b32b3, d7ff9cc2-0cd8-4e68-bfa1-1609462cf783"
FW71,81beae76-6321-4f55-b3c9-78d5b1e1d66e,"939eed3d-8b36-4de6-bfca-941d8114037a, 2850d0db-f1bc-425d-9c03-f992de3cdac3, 6a634190-30e8-4420-8632-c1ad9e7b7722, c87728f7-f5ff-4ec5-acd7-5cdd97f9e1b3, 67bad5f9-b408-4be4-9b93-4da5ac9f68e5, aa7599e6-3ce2-457c-8e2a-984583058a00, f6f43d80-f3b1-47b8-ad39-583abb429b56, 3439545e-a4e7-4777-87ec-4df1c61ad2f1, 2d984473-8f29-42a8-8cab-b898cfe892e6"
