itemId                               ,supplierId                                                                       ,cost    ,Quantity
015d4e51-c7e9-45a3-8e48-4ab1807981fc ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,157.5   ,1
015fa90c-c92b-43af-bd9e-84c1193a6dd9 ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,144     ,1
0160587d-b988-4e4c-9cfc-fcdb890fac03 ,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8                                             ,20      ,1
01620ffa-d8d1-4fd3-b5d1-e4b955a5877b ,857ba24d-4adf-4ebd-8291-b9062d6534da                                             ,69.84   ,1
0163fd53-bfa6-43bc-97d4-ec0a043479a9 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,410     ,1
01676d07-570a-4c97-84de-5ab66e90372f ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,91.67   ,1
016ae42b-e3c7-4ace-a8c7-cf4f40dfe956 ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,14      ,1
016c776b-7871-4ce5-b5ce-74697ee88d23 ,575b5b90-bc37-4071-87d6-123fc2b58737                                             ,66      ,1
0175704a-5a1d-4cb6-873e-3874a6c19545 ,ff02d777-7a10-4583-a4bc-1be214bcfdf6                                             ,76.27   ,1
01796d7b-8ebe-4b9d-82b4-37b10bff03d8 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,34      ,1
017a5953-49ab-4289-8905-f269add112b3 ,6d41dd94-cc75-4746-a6a0-3dca4e9389fc                                             ,5.4     ,1
017ba02d-979e-4c42-b9fc-4646c4dce20b ,6d41dd94-cc75-4746-a6a0-3dca4e9389fc                                             ,1.19    ,1
0181fd6e-7c80-40ff-a31f-5a8690678e51 ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,52      ,1
018287d5-9a78-46a7-8c84-fc836b2cc8ea ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,91.67   ,1
01856e2f-c419-4e4e-aa60-cb18ee48ab6c ,6d41dd94-cc75-4746-a6a0-3dca4e9389fc                                             ,4.84    ,1
0187b432-5c49-4b98-874e-5741e45cd6d7 ,d1c815bd-4808-4cd8-9757-b3c6fe5ba470                                             ,14      ,1
0187d7ad-f542-4a56-b8e2-b5b3dbcc715f ,beeb51ed-3932-4d9e-8efa-d73ca372ee52                                             ,26.35   ,1
0187de24-4a6a-46e1-885e-d770fb337881 ,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8                                             ,10      ,1
018a8e9f-6d8c-4722-bd0d-e45b5eb2cd57 ,beeb51ed-3932-4d9e-8efa-d73ca372ee52                                             ,29.2    ,1
018ba127-d7da-4e95-8d21-80fffe104dbb ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,37.08   ,1
018db78d-8930-4a79-a3c0-0a868757ae12 ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,64.25   ,1
018ddaa9-9df9-45a1-a164-5427b3af89af ,ffbc5520-4339-4063-a404-f20411de473f                                             ,8.77    ,1
018e7668-b960-4ee4-8c64-7984a36658a4 ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,41.25   ,1
01907740-62a1-42d9-94fa-e67315868bb6 ,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8                                             ,10      ,1
0191db22-e752-4420-8012-7b4531d438a0 ,b76bd59a-1862-4d2d-9f79-420527454b84                                             ,0.35    ,1
0194b0d3-cb07-497a-bdcd-4551d8aaf774 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,159.6   ,1
01957c3f-a7b2-422c-997d-cda8c5e5c836 ,1cb3b48b-396d-46e9-8b03-710fd11ee3a2                                             ,5.81    ,1
019782e8-68f8-48c8-a4ad-b61437ef98b6 ,1da93033-e7c4-4ee1-9c32-a7d7e3f0ef4b                                             ,0.6     ,1
0197ea00-5fa6-47f0-9c7d-64cc9a8e8d2b ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,80      ,1
0198a4af-277e-4e1f-a1dd-bb829907d8c6 ,[]                                                                               ,NULL    ,1
01a4c896-e98b-4b3e-a08e-832ff69e9bf3 ,a7138524-d361-45e8-99d8-af481a527b1a                                             ,123.44  ,1
01a5f35b-0d5b-4613-9941-eaec76beb716 ,66863d57-51f4-4f49-bd8d-911ce9ed5dd6                                             ,46.4    ,1
01af503e-01e5-42be-b8a2-6f830897f382 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,118     ,1
01b059bc-35b1-4196-aafd-013a9d6b963c ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,20.8    ,1
01b1bd87-bc91-4c2a-89e2-2b9c8d677321 ,575b5b90-bc37-4071-87d6-123fc2b58737                                             ,66      ,1
01b2231d-f8e3-421c-b7c6-025a15e0a8aa ,ffbc5520-4339-4063-a404-f20411de473f                                             ,21.93   ,1
01c6eb46-f3e7-4dae-a6dc-43e198b8fbec ,e97cf5e5-b95a-4839-a40c-2a5745a40b84                                             ,3.56    ,1
01ca2c31-164c-4d9e-9243-6543f52f4c9a ,35111ae1-5b41-499e-9b7e-75af92a4490c                                             ,2.57    ,1
01ca53b6-512a-4c25-91e5-0c4a14ea18c3 ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,45.42   ,1
