itemId,sku,format,status
00ddf708-90f6-44d7-a425-4805748d64dc,AI1-32-098-K,0,1
00e11c80-1b50-4256-bc7e-67357452d5f0,FI1-4207BL,0,1
00e1cd00-b80b-477c-9155-19f8852e1fa7,FI1-3482BK,0,1
00e2df77-411a-4e20-8c50-4f9015055247,PO1-70716,0,1
00e345be-f04b-4cde-907e-e88b582bc20a,AS1-1368012,0,1
00e637b1-176d-4447-b3dc-c04d86c3e5db,TH2-GK/M/D,0,1
00e69a71-6f33-458d-8007-7eca8e56562e,DA2-MIM4202,0,0
00e6ea0b-a96e-4ecb-88b0-c9a5797ede39,IN14-M4980,0,1
00ecbfc0-7b3a-4645-8fdf-85f1027d1907,EL2-FE-COTSLN2-M-BK,0,1
00ecded5-c7d9-41db-a3e6-adc4b47239f1,DA2-MYS4223,0,0
00eee231-439c-441b-a9b3-6e7ac0acb7a1,SH6-P3Y9,0,0
00f2c610-fbf9-4a7f-ad29-04371f8ad987,EG1-96277,0,1
00f433b7-e2cb-498b-b815-3ecbfd2fa877,AS1-5021001,0,1
00f6636f-0776-4732-a9b7-d78e07e676cc,EG1-97421,0,0
00fd58bf-c7c7-4164-8f49-bc8aafff4af3,FR1-FL2420-22,0,1
00fee731-8378-4fe8-8dda-17c44089d90b,AI1-JW33 + AI136-263-16AL,1,0
00ff0223-8db7-49ce-a8ef-a68dd3cca6e0,AS1-1121056,0,1
0101ebf2-5d27-4774-b4e5-f6e823b4c754,IM1-ZZ09900/SC,0,1
0105edf8-1fdc-410f-bd58-5e7dbbdc7a07,AS1-1390001,0,1
0108caa7-37b1-4d7c-810e-cf6ab8faa430,FI1-8362CH,0,1
010ab00e-7247-47fb-856e-cdde90ad04e1,AI1-36-021-10BKV,2,1
010b6567-05ff-4f5f-9887-9ffa23930c2f,WE1-DFM41,0,1
010b9247-c726-4e38-a4e6-c82308056cc5,PO1-652-TLAN,0,1
01145e6c-19e5-4103-b364-d08b909afd2c,WA4-TRANS/210VA,0,1
0117cca2-37ee-41b9-b737-5b275b6ed640,CO5-SHALLOW60-S,0,1
01190690-ae29-49db-8ae1-9aaf951f53ae,EL2-HK-WYATT6,0,1
011e449e-a0e2-45c0-a520-bfcf62c0ba09,EL2-KLAMPENBORG BK,0,1
0121276a-2b4f-451e-b3e1-d28daf45d135,MC1-TMF28,0,0
01269b9c-85f4-48be-ac1c-6896c1081250,FI1-3701BK,0,1
